Date, Open, High, Low, Close, Volume
09/01/16, 15.3475, 15.845, 15.335, 15.7875, 42849240
08/31/16, 15.4375, 15.48, 15.29, 15.335, 38854568
08/30/16, 15.4775, 15.5607, 15.365, 15.4075, 28554488
08/29/16, 15.57, 15.6325, 15.4713, 15.4975, 27465116
08/26/16, 15.4225, 15.595, 15.30, 15.5075, 30002496
08/25/16, 15.49, 15.4975, 15.19, 15.3825, 40603120
08/24/16, 15.7825, 15.79, 15.4125, 15.485, 29844976
08/23/16, 15.76, 15.83, 15.6825, 15.7275, 33976232
08/22/16, 15.6125, 15.653, 15.4278, 15.63, 24474732
08/19/16, 15.5175, 15.6825, 15.45, 15.565, 29155912
08/18/16, 15.265, 15.55, 15.205, 15.525, 33168380
08/17/16, 15.65, 15.685, 15.1638, 15.2875, 59521200
08/16/16, 15.7225, 15.7475, 15.6025, 15.65, 28765380
08/15/16, 15.7775, 15.8741, 15.5326, 15.745, 57330480
08/12/16, 15.475, 15.845, 15.1575, 15.76, 142574564
08/11/16, 14.705, 14.9875, 14.675, 14.925, 68106244
08/10/16, 14.8525, 14.875, 14.5809, 14.6275, 37573812
08/09/16, 14.7575, 14.865, 14.685, 14.7225, 37234236
08/08/16, 14.75, 14.785, 14.53, 14.685, 30506412
08/05/16, 14.4725, 14.5575, 14.4025, 14.55, 37158940
08/04/16, 14.115, 14.3725, 14.0875, 14.3075, 27271212
08/03/16, 13.9925, 14.075, 13.915, 14.0475, 29982836
08/02/16, 14.25, 14.2575, 13.875, 14.01, 28274880
08/01/16, 14.335, 14.3875, 14.09, 14.1825, 30111880
07/29/16, 14.0975, 14.3125, 13.845, 14.275, 40958640
07/28/16, 14.0475, 14.15, 14.0034, 14.045, 22191736
07/27/16, 14.28, 14.305, 13.93, 14.015, 44667560
07/26/16, 14.0425, 14.23, 14.0225, 14.1575, 51450960
07/25/16, 13.75, 13.9525, 13.69, 13.92, 31252844
07/22/16, 13.3525, 13.6675, 13.255, 13.6675, 31576660
07/21/16, 13.525, 13.5675, 13.26, 13.305, 36130788
07/20/16, 13.425, 13.6263, 13.37, 13.555, 29646008
07/19/16, 13.235, 13.4323, 13.21, 13.38, 38265000
07/18/16, 13.3375, 13.3575, 13.1925, 13.2425, 25299352
07/15/16, 13.16, 13.2338, 12.9603, 13.175, 42861440
07/14/16, 13.265, 13.45, 13.155, 13.33, 31689132
07/13/16, 13.225, 13.30, 13.175, 13.195, 32460520
07/12/16, 13.15, 13.32, 12.985, 13.20, 43676200
07/11/16, 12.895, 13.10, 12.88, 13.005, 44877760
07/08/16, 12.3525, 12.7728, 12.305, 12.7125, 48193080
07/07/16, 11.9925, 12.265, 11.9375, 12.2225, 39539968
07/06/16, 11.755, 11.9813, 11.695, 11.9125, 27310376
07/05/16, 11.60, 11.8575, 11.5075, 11.8375, 37108244
07/01/16, 11.6875, 11.84, 11.625, 11.665, 21848792
06/30/16, 11.6825, 11.825, 11.5875, 11.7525, 43093920
06/29/16, 11.575, 11.7525, 11.545, 11.6625, 31893056
06/28/16, 11.525, 11.5375, 11.3175, 11.475, 38191920
06/27/16, 11.3375, 11.425, 11.1425, 11.31, 45033960
06/24/16, 11.625, 11.84, 11.325, 11.4325, 101768436
06/23/16, 11.92, 12.135, 11.9125, 12.1225, 29787976
06/22/16, 11.8425, 11.92, 11.7875, 11.8075, 20262064
06/21/16, 11.94, 11.9725, 11.80, 11.8175, 21250644
06/20/16, 11.8675, 12.0425, 11.86, 11.89, 29376920
06/17/16, 11.9025, 11.905, 11.6325, 11.68, 47100200
06/16/16, 11.7525, 11.9075, 11.6378, 11.8875, 24645712
06/15/16, 11.8175, 11.9425, 11.6875, 11.84, 30103472
06/14/16, 11.67, 11.775, 11.5388, 11.72, 29834556
06/13/16, 11.5625, 11.9247, 11.5625, 11.6975, 47558680
06/10/16, 11.705, 11.81, 11.535, 11.55, 40002360
06/09/16, 11.505, 11.8625, 11.48, 11.845, 47216680
06/08/16, 11.585, 11.6275, 11.45, 11.545, 23461724
06/07/16, 11.63, 11.695, 11.5775, 11.5825, 19340068
06/06/16, 11.65, 11.74, 11.50, 11.56, 32251364
06/03/16, 11.67, 11.685, 11.415, 11.62, 46107440
06/02/16, 11.765, 11.885, 11.65, 11.785, 32920808
06/01/16, 11.625, 11.815, 11.59, 11.7025, 38713068
05/31/16, 11.525, 11.7038, 11.5175, 11.68, 41252520
05/27/16, 11.425, 11.4925, 11.3875, 11.475, 27741556
05/26/16, 11.3125, 11.495, 11.28, 11.4125, 30996324
05/25/16, 11.375, 11.4225, 11.2025, 11.2925, 45877640
05/24/16, 11.105, 11.375, 11.075, 11.34, 41578880
05/23/16, 11.13, 11.1725, 11.0325, 11.10, 41363520
